layer,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
0,0.151148721575737,0.6481102705001831,0.19756487011909485,0.5444470047950745,0.062489818781614304,0.06540820002555847,0.08944611996412277,0.08722749352455139,0.11605393886566162,0.27260714769363403,0.29128098487854004,0.15884748101234436
1,0.18600855767726898,0.21085913479328156,0.35435283184051514,0.33355948328971863,0.2563275992870331,0.32310038805007935,0.22057843208312988,0.43526336550712585,0.1296614557504654,0.13718672096729279,0.3868575692176819,0.3010209798812866
2,0.3668421804904938,0.17495670914649963,0.1599864661693573,0.3198679983615875,0.2088494598865509,0.31931328773498535,0.3114650249481201,0.19515293836593628,0.30017194151878357,0.3201189935207367,0.40332165360450745,0.2664279639720917
3,0.43075475096702576,0.19778123497962952,0.1936369240283966,0.16228102147579193,0.5710257887840271,0.20893040299415588,0.3016594648361206,0.20510095357894897,0.16578122973442078,0.16761548817157745,0.33410903811454773,0.20373521745204926
4,0.18240460753440857,0.22398044168949127,0.26959165930747986,0.25726833939552307,0.4836541712284088,0.22684809565544128,0.31928369402885437,0.29214945435523987,0.38159453868865967,0.2290271818637848,0.20035837590694427,0.25847363471984863
5,0.268461138010025,0.2606121897697449,0.22036749124526978,0.1458863615989685,0.08898280560970306,0.32360267639160156,0.08491791039705276,0.12653830647468567,0.3079829812049866,0.6854395270347595,0.20650455355644226,0.21674993634223938
6,0.242818683385849,0.13493697345256805,0.3025769591331482,0.25979363918304443,0.18077179789543152,0.27784615755081177,0.44237178564071655,0.2532179355621338,0.2507964074611664,0.36118224263191223,0.40530407428741455,0.19098082184791565
7,0.15715739130973816,0.3896005153656006,0.16708315908908844,0.4231124222278595,0.3117139935493469,0.18058788776397705,0.3276713192462921,0.2818622589111328,0.13829943537712097,0.23680177330970764,0.3338279724121094,0.3366553485393524
8,0.2520938515663147,0.18116655945777893,0.27694547176361084,0.44070225954055786,0.12466169893741608,0.2508567273616791,0.19394128024578094,0.1815832108259201,0.2551928162574768,0.2527516484260559,0.5094075798988342,0.30846691131591797
9,0.15972404181957245,0.19806692004203796,0.21708835661411285,0.2874714434146881,0.5030920505523682,0.27808627486228943,0.2763824164867401,0.22200079262256622,0.0892087072134018,0.385595440864563,0.3401912450790405,0.27751266956329346
10,0.2778913974761963,0.25055286288261414,0.30829861760139465,0.1989932358264923,0.12710724771022797,0.24727274477481842,0.3270547091960907,0.6179955005645752,0.26358094811439514,0.1221160888671875,0.22108621895313263,0.16094596683979034
11,0.303057461977005,0.16578377783298492,0.2578135132789612,0.2146434634923935,0.14812710881233215,0.21894943714141846,0.1381482183933258,0.15391303598880768,0.7331931591033936,0.1375914067029953,0.28416937589645386,0.1349877566099167
